clouds,humidity,latitude,temperature,wind
64,68,68.75,-9.54,3.49
92,89,33.79,34.79,4.72
90,100,64.42,35.6,24.61
90,70,49.72,-0.41,9.17
0,100,-33.64,60.67,18.7
0,60,20.66,77.99,8.75
0,95,-34.42,59.41,3.38
0,77,70.24,16.02,3.36
24,100,33.32,33.8,3.36
88,100,-2.95,68.77,2.93
40,66,-7.74,86.0,4.7
92,91,-33.59,71.87,5.61
8,59,25.29,66.2,8.05
0,98,-23.12,81.01,16.69
75,88,-34.58,62.6,10.29
92,93,36.54,44.6,4.7
75,51,-53.16,59.0,21.92
64,100,-3.66,80.42,15.01
92,99,43.74,39.52,5.39
40,50,-54.81,55.4,4.7
90,50,50.7,33.8,3.36
44,100,6.12,77.14,15.23
24,100,50.68,21.29,9.75
90,70,42.65,40.23,16.11
20,100,-0.6,83.57,8.08
1,61,19.71,68.4,9.17
90,69,60.79,35.6,24.16
0,92,51.53,17.6,2.59
36,100,-2.57,80.56,8.41
75,54,-42.78,55.4,6.93
0,84,-23.58,73.94,8.75
12,89,53.59,-10.44,8.19
0,86,15.34,62.11,1.36
0,100,10.57,81.64,4.38
0,78,46.86,-3.96,4.38
20,57,62.45,-13.01,10.29
92,91,65.58,32.41,37.16
1,71,39.62,48.9,4.7
8,74,-37.83,63.32,7.52
56,100,-9.8,80.65,16.58
20,78,-6.97,80.6,6.93
56,83,7.05,77.23,1.36
92,92,-23.84,76.1,6.51
36,94,53.8,44.29,12.66
88,94,-46.28,52.52,5.5
8,58,53.94,-12.46,3.6
36,96,-19.28,62.29,4.61
40,82,38.52,62.6,17.22
20,62,-0.74,86.0,8.05
0,47,18.39,58.06,3.71
20,73,-41.87,59.45,5.39
88,80,60.87,19.63,6.06
32,39,-46.43,68.05,10.42
64,97,-46.19,53.38,4.05
20,91,8.0,63.32,1.59
80,79,70.62,-8.01,21.5
100,100,5.38,77.32,11.99
40,78,-22.97,80.6,11.41
75,56,65.28,14.0,18.34
32,100,72.79,5.45,16.46
92,96,-4.85,70.79,2.37
44,87,-10.18,81.32,4.05
68,100,-19.55,81.19,6.96
12,81,8.96,53.56,5.39
40,55,45.52,38.75,1.7
40,55,32.3,66.2,13.87
20,87,38.73,59.0,18.59
64,88,-26.98,75.47,3.04
90,77,46.41,5.0,6.93
90,86,45.36,38.73,17.22
90,100,41.63,37.4,2.24
20,68,70.47,-14.81,26.4
0,73,-38.31,76.33,11.77
56,91,-3.46,69.04,1.92
0,57,-34.85,75.2,5.82
92,100,-33.02,71.56,6.62
92,93,65.61,32.86,22.5
0,57,50.94,-7.47,8.08
0,77,-26.65,66.2,13.87
0,77,-34.53,69.8,3.36
0,100,-22.12,64.0,6.62
64,96,22.89,73.85,9.42
88,100,-29.69,69.13,4.16
90,76,69.44,-3.92,9.17
44,88,-6.64,80.15,1.7
0,97,31.86,44.56,3.6
12,43,9.31,84.61,15.68
80,76,58.45,9.59,6.4
48,61,67.47,-7.02,2.93
56,100,21.46,76.33,22.28
20,43,60.91,15.8,26.4
36,75,1.03,78.49,2.15
75,36,21.05,91.4,12.75
8,93,-13.3,64.63,2.59
90,93,44.45,44.6,5.82
12,95,-34.0,64.36,2.48
36,99,4.87,81.19,8.41
75,88,-20.41,75.2,3.36
0,51,27.18,60.8,2.71
64,96,5.59,57.97,1.7
80,85,-20.63,72.32,3.15
75,77,68.22,-1.18,3.36
88,97,69.38,12.43,8.19
80,100,3.07,77.5,11.1
75,63,60.82,-9.41,10.29
88,100,-22.43,77.9,28.66
20,58,6.8,82.4,16.11
20,46,52.47,10.4,8.05
75,56,-12.99,73.4,6.93
20,88,4.25,78.8,2.24
20,83,8.88,78.8,2.24
0,71,77.48,-11.25,6.73
75,83,-32.59,69.8,21.92
90,86,45.24,33.82,3.71
64,97,-22.11,76.06,6.51
0,30,13.32,74.57,9.08
75,66,-19.06,84.2,14.99
0,93,31.68,46.4,4.7
36,60,55.93,-9.76,2.48
0,80,-33.21,60.35,8.52
90,81,39.31,49.37,3.36
8,88,14.69,64.4,6.93
75,75,38.02,42.8,9.17
75,78,78.22,17.6,3.36
80,78,69.22,8.6,10.29
0,79,23.3,60.44,2.71
68,71,45.63,10.9,4.38
88,100,-16.7,80.47,19.26
0,77,-33.93,68.0,12.75
8,46,15.17,48.25,3.15
75,69,-23.13,82.4,6.93
64,83,-12.18,82.4,5.82
44,100,61.92,-0.58,6.51
75,88,-20.34,75.2,3.36
92,100,-30.17,70.79,6.96
100,100,9.49,75.7,7.4
12,65,-20.74,78.85,11.21
90,87,39.45,48.2,8.05
0,58,9.45,79.07,0.58
0,18,29.11,64.85,13.78
92,86,2.43,78.35,7.96
75,54,-42.88,55.4,6.93
88,100,-16.48,79.84,19.71
80,100,-5.11,71.87,2.48
20,51,69.49,-17.64,1.92
88,95,61.47,45.64,10.54
75,69,18.47,78.8,17.22
0,49,28.22,57.92,11.77
32,100,1.74,67.19,2.04
75,93,41.89,44.62,6.93
